,mutant_0000,mutant_0001,mutant_0002,mutant_0003,mutant_0004,mutant_0005,mutant_0006,mutant_0007,mutant_0008,mutant_0009,mutant_0010,mutant_0011,mutant_0012,mutant_0013,mutant_0014,mutant_0015,mutant_0016,mutant_0017,mutant_0018,mutant_0019,mutant_0020,mutant_0021,mutant_0022,mutant_0023,mutant_0024,mutant_0025,mutant_0026,mutant_0027,mutant_0028,mutant_0029,mutant_0030,mutant_0031,mutant_0032,mutant_0033,mutant_0034,mutant_0035,mutant_0036,mutant_0037,mutant_0038,mutant_0039,mutant_0040,mutant_0041,mutant_0042,mutant_0043,mutant_0044,mutant_0045,mutant_0046,mutant_0047,mutant_0048,mutant_0049,mutant_0050,mutant_0051,mutant_0052,mutant_0053,mutant_0054,mutant_0055,mutant_0056,mutant_0057,mutant_0058,mutant_0059,mutant_0060,mutant_0061,mutant_0062,mutant_0063,mutant_0064,mutant_0065,mutant_0066,mutant_0067,mutant_0068,mutant_0069,mutant_0070,mutant_0071,mutant_0072,mutant_0073,mutant_0074,mutant_0075,mutant_0076,mutant_0077,mutant_0078,mutant_0079,mutant_0080,mutant_0081,mutant_0082,mutant_0083,mutant_0084,mutant_0085,mutant_0086,mutant_0087,mutant_0088,mutant_0089,mutant_0090,mutant_0091,mutant_0092,mutant_0093,mutant_0094,mutant_0095,mutant_0096,mutant_0097,mutant_0098,mutant_0099
mutant_0000,0.00000000,0.99771874,0.99686110,0.99564440,0.99702715,0.99647518,0.99559074,0.99491402,0.99460674,0.99523089,0.99839170,0.99645117,0.99619468,0.99496384,0.99451784,0.99701373,0.99607422,0.99482608,0.94701153,0.95169163,0.96062749,0.97442744,0.94960700,0.96080758,0.96954544,0.96468127,0.96494689,0.99089417,0.98936460,0.95097407,0.95696369,0.96699516,0.96365851,0.95344408,0.96528258,0.97207036,0.96380561,0.96849617,0.96799291,0.97097848,0.97677182,0.96913921,0.96208510,0.97767183,0.97655152,0.97678256,0.97769620,0.98541067,0.96401951,0.97054843,0.97762100,0.98006532,0.97247621,0.96923135,0.98009268,0.98204608,0.95085930,0.95555131,0.96561788,0.95910416,0.95310504,0.95798969,0.95879499,0.96392558,0.96297622,0.96516837,0.96327916,0.97436749,0.95086751,0.96426589,0.95575640,0.95597776,0.95974848,0.96344777,0.95004527,0.95883901,0.95338177,0.95398208,0.96451876,0.95924653,0.95461004,0.95573866,0.95892152,0.96819426,0.97128685,0.95220562,0.96198590,0.95619479,0.95985324,0.95909847,0.95685936,0.96789340,0.97213504,0.95790035,0.96120571,0.95677803,0.95758344,0.96142298,0.95969221,0.96198472
mutant_0001,0.99771874,0.00000000,0.99837042,0.99692167,0.99879217,0.99686267,0.99707274,0.99553095,0.99582730,0.99690505,0.99819344,0.99861570,0.99801930,0.99671533,0.99556279,0.99656157,0.99797321,0.99429170,0.94506693,0.94991061,0.95840686,0.97250506,0.94779639,0.95864751,0.96693787,0.96248364,0.96273296,0.99201939,0.98873832,0.94903292,0.95503408,0.96477472,0.96174364,0.95121313,0.96303445,0.97015490,0.96133665,0.96636343,0.96558985,0.96865839,0.97501036,0.96697624,0.95996746,0.97601936,0.97438374,0.97484453,0.97629777,0.98447736,0.96211022,0.96905524,0.97558835,0.98207664,0.97040924,0.96722089,0.97940995,0.98143220,0.94860181,0.95321964,0.96343910,0.95665451,0.95071314,0.95560305,0.95635194,0.96152187,0.96061259,0.96262938,0.96117629,0.97200263,0.94904653,0.96244525,0.95339197,0.95375720,0.95744031,0.96105850,0.94777263,0.95649179,0.95131046,0.95184410,0.96211493,0.95694829,0.95235857,0.95351409,0.95659389,0.96606470,0.96917243,0.94997910,0.95983043,0.95401476,0.95751955,0.95676921,0.95457284,0.96571678,0.97013597,0.95548305,0.95881036,0.95459262,0.95540111,0.95909390,0.95750171,0.95981596
mutant_0002,0.99686110,0.99837042,0.00000000,0.99678378,0.99771667,0.99533440,0.99786762,0.99730578,0.99601594,0.99792581,0.99715995,0.99648615,0.99844375,0.99599182,0.99431563,0.99721035,0.99793370,0.99271789,0.94592506,0.95071216,0.95953359,0.97334215,0.94862759,0.95960543,0.96806169,0.96355497,0.96384818,0.99239375,0.99000272,0.94981774,0.95587155,0.96586495,0.96232832,0.95212910,0.96407589,0.97098248,0.96223307,0.96761469,0.96733707,0.97042147,0.97603376,0.96824007,0.96112679,0.97747175,0.97587963,0.97653472,0.97804095,0.98667461,0.96304867,0.96986855,0.97729751,0.98298706,0.97164651,0.96833343,0.98074388,0.98083994,0.94986758,0.95445063,0.96467972,0.95807820,0.95217182,0.95690923,0.95761413,0.96292134,0.96206395,0.96408747,0.96233652,0.97351237,0.94986346,0.96322237,0.95459547,0.95504926,0.95879916,0.96220481,0.94919194,0.95774206,0.95269742,0.95326362,0.96339480,0.95824983,0.95368737,0.95496675,0.95791164,0.96732353,0.97044921,0.95121139,0.96079236,0.95535114,0.95864950,0.95809696,0.95590341,0.96684620,0.97089505,0.95694453,0.96017481,0.95613514,0.95696938,0.96051676,0.95881718,0.96119195
mutant_0003,0.99564440,0.99692167,0.99678378,0.00000000,0.99721793,0.99527845,0.99681559,0.99526676,0.99663625,0.99718786,0.99671614,0.99596750,0.99651189,0.99629461,0.99484221,0.99729485,0.99835757,0.99369129,0.94845060,0.95302933,0.96131595,0.97547348,0.95104145,0.96167733,0.96934594,0.96523107,0.96545900,0.99248622,0.98981273,0.95217304,0.95776767,0.96757505,0.96447862,0.95465662,0.96597783,0.97257236,0.96420238,0.96907645,0.96819763,0.97144550,0.97828905,0.96964797,0.96302661,0.97873066,0.97685609,0.97779891,0.97911125,0.98701829,0.96501366,0.97181302,0.97813640,0.98300816,0.97318259,0.97007327,0.98196102,0.98299497,0.95173432,0.95606587,0.96582119,0.95963678,0.95414891,0.95847892,0.95923117,0.96416028,0.96334774,0.96528083,0.96418587,0.97436899,0.95213212,0.96500850,0.95655537,0.95685190,0.96042276,0.96367301,0.95102904,0.95924812,0.95449854,0.95490506,0.96515330,0.95979052,0.95553888,0.95653076,0.95958833,0.96932550,0.97159913,0.95310582,0.96241873,0.95704661,0.96012869,0.95982926,0.95761034,0.96838302,0.97228313,0.95792437,0.96120636,0.95737889,0.95807839,0.96157634,0.96011880,0.96229411
mutant_0004,0.99702715,0.99879217,0.99771667,0.99721793,0.00000000,0.99767934,0.99642749,0.99459752,0.99669592,0.99660795,0.99803792,0.99844181,0.99823656,0.99717619,0.99679727,0.99612127,0.99799788,0.99432872,0.94542987,0.95017211,0.95866811,0.97276479,0.94819555,0.95895452,0.96724099,0.96277329,0.96298569,0.99228642,0.98906414,0.94941277,0.95530506,0.96511550,0.96216659,0.95159529,0.96324351,0.97032372,0.96156852,0.96653546,0.96557519,0.96884123,0.97567696,0.96724031,0.96043247,0.97641457,0.97467202,0.97512781,0.97683171,0.98462473,0.96252060,0.96946282,0.97572135,0.98370316,0.97074556,0.96763238,0.98009553,0.98194415,0.94869073,0.95319610,0.96352180,0.95684923,0.95087876,0.95571880,0.95650472,0.96159824,0.96080465,0.96268150,0.96158344,0.97213756,0.94928793,0.96277115,0.95365637,0.95385925,0.95756190,0.96109422,0.94792773,0.95661103,0.95164851,0.95203610,0.96229337,0.95716413,0.95265216,0.95381005,0.95683557,0.96641987,0.96935696,0.95023085,0.96006137,0.95430660,0.95776724,0.95699400,0.95474701,0.96592749,0.97022050,0.95557988,0.95887392,0.95491785,0.95569768,0.95930246,0.95779297,0.96008397
mutant_0005,0.99647518,0.99686267,0.99533440,0.99527845,0.99767934,0.00000000,0.99353891,0.99206362,0.99518502,0.99341309,0.99739064,0.99758008,0.99656514,0.99532240,0.99804684,0.99411943,0.99587064,0.99519561,0.94459550,0.94928081,0.95757258,0.97164744,0.94723593,0.95817823,0.96640968,0.96172241,0.96187371,0.99101551,0.98777396,0.94870720,0.95449108,0.96423998,0.96141577,0.95086922,0.96207816,0.96919402,0.96076348,0.96545929,0.96405180,0.96750025,0.97516752,0.96612197,0.95951041,0.97475366,0.97307905,0.97295749,0.97523551,0.98185906,0.96169807,0.96861710,0.97418628,0.98390611,0.96979616,0.96671418,0.97916496,0.98143198,0.94767448,0.95224103,0.96238388,0.95582433,0.94988910,0.95470712,0.95562223,0.96053281,0.95970390,0.96156827,0.96057724,0.97106109,0.94846287,0.96194133,0.95280123,0.95295059,0.95658440,0.96008166,0.94693792,0.95568963,0.95050176,0.95104722,0.96134896,0.95612708,0.95168016,0.95255614,0.95572478,0.96532514,0.96826607,0.94936044,0.95935556,0.95346092,0.95693555,0.95601084,0.95382336,0.96507937,0.96916914,0.95441441,0.95773191,0.95363574,0.95442796,0.95801463,0.95676906,0.95893776
mutant_0006,0.99559074,0.99707274,0.99786762,0.99681559,0.99642749,0.99353891,0.00000000,0.99782638,0.99580181,0.99890153,0.99591828,0.99515302,0.99627299,0.99544607,0.99272723,0.99763368,0.99844043,0.99182929,0.94659942,0.95124213,0.96003824,0.97408310,0.94916123,0.96038181,0.96848913,0.96412902,0.96443847,0.99158978,0.98939802,0.95027039,0.95624580,0.96650180,0.96276633,0.95296551,0.96479718,0.97148082,0.96324791,0.96834992,0.96824614,0.97111048,0.97616596,0.96886719,0.96167631,0.97826641,0.97658008,0.97752160,0.97834112,0.98734726,0.96340685,0.97016034,0.97779040,0.98132603,0.97207264,0.96877058,0.98072797,0.98067228,0.95081494,0.95537369,0.96529020,0.95874852,0.95317727,0.95780137,0.95868774,0.96373371,0.96275856,0.96473004,0.96316490,0.97435496,0.95043398,0.96400295,0.95575386,0.95597987,0.95975934,0.96344467,0.95014152,0.95854464,0.95342288,0.95404292,0.96434905,0.95901756,0.95458505,0.95564119,0.95861210,0.96796585,0.97098105,0.95199909,0.96141955,0.95600281,0.95949912,0.95900381,0.95682093,0.96769745,0.97181137,0.95798228,0.96125129,0.95717225,0.95785617,0.96139061,0.95984051,0.96194049
mutant_0007,0.99491402,0.99553095,0.99730578,0.99526676,0.99459752,0.99206362,0.99782638,0.00000000,0.99462655,0.99759105,0.99492565,0.99304528,0.99522348,0.99436974,0.99144436,0.99728594,0.99637939,0.99104253,0.94466360,0.94940979,0.95849467,0.97258244,0.94729607,0.95869295,0.96674312,0.96260067,0.96283734,0.98987656,0.98802529,0.94832343,0.95446935,0.96499712,0.96085708,0.95108647,0.96322182,0.96987339,0.96153035,0.96708924,0.96734476,0.97026261,0.97462387,0.96766015,0.96012858,0.97698392,0.97571087,0.97653446,0.97747151,0.98669180,0.96171223,0.96839442,0.97702998,0.97939512,0.97071792,0.96728120,0.97928737,0.97848492,0.94925684,0.95408113,0.96392456,0.95756561,0.95198282,0.95650587,0.95719711,0.96255595,0.96165903,0.96370872,0.96160482,0.97349802,0.94851858,0.96207452,0.95411806,0.95461830,0.95855037,0.96212254,0.94890083,0.95757476,0.95201793,0.95266716,0.96337079,0.95794884,0.95327254,0.95457498,0.95726883,0.96668337,0.96990756,0.95070091,0.96005707,0.95467706,0.95809769,0.95782567,0.95564600,0.96648233,0.97047696,0.95666962,0.96000044,0.95571850,0.95654067,0.96006925,0.95830283,0.96060439
mutant_0008,0.99460674,0.99582730,0.99601594,0.99663625,0.99669592,0.99518502,0.99580181,0.99462655,0.00000000,0.99581859,0.99620366,0.99508129,0.99614003,0.99687375,0.99516279,0.99612833,0.99707783,0.99192180,0.94640097,0.95101793,0.95945922,0.97323636,0.94900531,0.95971764,0.96777604,0.96333681,0.96358119,0.99302118,0.98904776,0.95028058,0.95602527,0.96573417,0.96276405,0.95252427,0.96389153,0.97065384,0.96220952,0.96740682,0.96672824,0.96995536,0.97637169,0.96811581,0.96123117,0.97740392,0.97549833,0.97616240,0.97871416,0.98555797,0.96327767,0.97032629,0.97678261,0.98555447,0.97155505,0.96832940,0.98101938,0.98092598,0.94965482,0.95409005,0.96417526,0.95775695,0.95190945,0.95663192,0.95737571,0.96256682,0.96166258,0.96362204,0.96273499,0.97304957,0.95008726,0.96345855,0.95456970,0.95486486,0.95852409,0.96197819,0.94887243,0.95735743,0.95262037,0.95291781,0.96306951,0.95792359,0.95350793,0.95477101,0.95764773,0.96755581,0.96997257,0.95114539,0.96062396,0.95518503,0.95846683,0.95796460,0.95567727,0.96661301,0.97058867,0.95635742,0.95966071,0.95593974,0.95668083,0.96012216,0.95862640,0.96091951
mutant_0009,0.99523089,0.99690505,0.99792581,0.99718786,0.99660795,0.99341309,0.99890153,0.99759105,0.99581859,0.00000000,0.99548334,0.99480558,0.99614628,0.99523581,0.99260881,0.99707501,0.99797105,0.99176040,0.94629177,0.95097124,0.95975305,0.97368482,0.94886814,0.95996870,0.96788997,0.96372501,0.96395718,0.99173344,0.98951035,0.95008015,0.95602902,0.96608286,0.96259645,0.95252250,0.96424255,0.97108322,0.96262388,0.96778221,0.96756514,0.97066396,0.97575174,0.96848551,0.96126618,0.97780439,0.97617765,0.97724044,0.97797239,0.98760316,0.96304634,0.96971019,0.97751594,0.98096091,0.97157468,0.96832497,0.98027082,0.98048749,0.95025469,0.95480506,0.96479422,0.95821714,0.95262868,0.95724719,0.95803022,0.96308357,0.96221722,0.96408900,0.96269131,0.97396326,0.95004076,0.96359491,0.95503071,0.95543471,0.95918363,0.96271007,0.94962988,0.95815912,0.95287354,0.95343679,0.96396153,0.95864878,0.95412796,0.95520568,0.95810323,0.96752219,0.97076508,0.95164705,0.96118479,0.95560093,0.95911567,0.95848448,0.95632823,0.96737830,0.97137836,0.95736495,0.96068752,0.95659023,0.95737729,0.96086115,0.95929041,0.96151986
